"original_name","slug","source_group","status","reason"
"accessibility-implementation","accessibility-implementation","skills","excluded","merge_conflict_markers"
"account-based-marketing","account-based-marketing","skills","excluded","merge_conflict_markers"
"agent-memory-systems","agent-memory-systems","skills","excluded","merge_conflict_markers"
"ai-agent-architecture","ai-agent-architecture","skills","excluded","merge_conflict_markers"
"ai-safety-guardrails","ai-safety-guardrails","skills","excluded","merge_conflict_markers"
"api-contract-testing","api-contract-testing","skills","excluded","merge_conflict_markers"
"api-gateway-patterns","api-gateway-patterns","skills","excluded","merge_conflict_markers"
"api-security-hardening","api-security-hardening","skills","excluded","merge_conflict_markers"
"api-versioning-strategies","api-versioning-strategies","skills","excluded","merge_conflict_markers"
"architecture-decision-records","architecture-decision-records","skills","excluded","merge_conflict_markers"
"aws-cost-optimization","aws-cost-optimization","skills","excluded","merge_conflict_markers"
"aws-dynamodb-patterns","aws-dynamodb-patterns","skills","excluded","merge_conflict_markers"
"aws-lambda-patterns","aws-lambda-patterns","skills","excluded","merge_conflict_markers"
"aws-s3-patterns","aws-s3-patterns","skills","excluded","merge_conflict_markers"
"aws-vpc-networking","aws-vpc-networking","skills","excluded","merge_conflict_markers"
"board-meeting-preparation","board-meeting-preparation","skills","excluded","merge_conflict_markers"
"ad-campaign-agent","ad-campaign-agent","agents","kept","normalized"
"ai-product-agent","ai-product-agent","agents","kept","normalized"
"api-integration-agent","api-integration-agent","agents","kept","normalized"
"brand-builder-agent","brand-builder-agent","agents","kept","normalized"
"client-onboarding-agent","client-onboarding-agent","agents","kept","normalized"
"code-review-agent","code-review-agent","agents","kept","normalized"
"competitor-intel-agent","competitor-intel-agent","agents","kept","normalized"
"compliance-audit-agent","compliance-audit-agent","agents","kept","normalized"
"content-engine-agent","content-engine-agent","agents","kept","normalized"
"crisis-communication-agent","crisis-communication-agent","agents","kept","normalized"
"customer-feedback-agent","customer-feedback-agent","agents","kept","normalized"
"customer-success-agent","customer-success-agent","agents","kept","normalized"
"data-analyst-agent","data-analyst-agent","agents","kept","normalized"
"data-analytics-agent","data-analytics-agent","agents","kept","normalized"
"database-architect-agent","database-architect-agent","agents","kept","normalized"
"database-optimization-agent","database-optimization-agent","agents","kept","normalized"
